,puuid,matchId
13,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6616691330
14,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6616605725
15,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6616506610
16,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6616396663
17,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6616284540
18,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6616124041
19,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6616002642
20,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6615930685
21,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6615868998
22,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6615657336
23,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6615591900
24,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6615536673
25,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6615479994
26,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6615434054
27,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6615376361
28,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6614871297
29,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6614808265
30,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6614741615
31,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6614644954
32,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6614547127
